ID,OUTCOME
303713.0,1
141107.0,1
447316.0,1
196066.0,1
179947.0,1
246300.0,1
182549.0,1
304827.0,1
591944.0,1
142876.0,1
39397.0,1
445679.0,1
605134.0,1
208970.0,1
143299.0,1
198060.0,1
222808.0,1
796912.0,1
309406.0,1
206092.0,1
121864.0,1
453905.0,1
150341.0,1
384578.0,1
298074.0,1
862202.0,1
747637.0,1
438387.0,1
479943.0,1
433621.0,1
231068.0,1
192.0,1
3264.0,1
211300.0,1
3559.0,1
865863.0,1
49560.0,1
445364.0,1
900068.0,1
306028.0,1
185943.0,1
252156.0,1
100202.0,1
51349.0,1
239813.0,1
118555.0,1
781829.0,1
320998.0,1
489559.0,1
352687.0,1
581445.0,1
459677.0,1
91360.0,1
96404.0,1
635499.0,1
277024.0,1
670445.0,1
949010.0,1
218511.0,1
311673.0,1
290251.0,1
388081.0,1
320940.0,1
72973.0,1
773868.0,1
276638.0,1
132294.0,1
230964.0,1
58061.0,1
713852.0,1
458239.0,1
611295.0,1
28592.0,1
761461.0,1
365595.0,1
985643.0,1
261931.0,1
116049.0,1
77675.0,1
990030.0,1
91560.0,1
567131.0,1
76281.0,1
257917.0,1
147855.0,1
467581.0,1
209364.0,1
928104.0,1
84466.0,1
46560.0,1
554413.0,1
599762.0,1
908314.0,1
683866.0,1
263899.0,1
20028.0,1
284335.0,1
479848.0,1
665280.0,1
127128.0,1
711926.0,1
238915.0,1
313173.0,1
472996.0,1
134115.0,1
121.0,1
573224.0,1
5415.0,1
167285.0,1
25342.0,1
264346.0,1
430027.0,1
323593.0,1
110520.0,1
459797.0,1
47782.0,1
18105.0,1
645894.0,1
57827.0,1
48371.0,1
234297.0,1
762885.0,1
408569.0,1
842565.0,1
748350.0,1
51301.0,1
388577.0,1
58577.0,1
150473.0,1
434668.0,1
301885.0,1
181709.0,1
447807.0,1
45757.0,1
619400.0,1
723925.0,1
195611.0,1
827781.0,1
894399.0,1
711612.0,1
932752.0,1
658499.0,1
227185.0,1
134950.0,1
46382.0,1
243569.0,1
79263.0,1
236757.0,1
778228.0,1
351840.0,1
326692.0,1
362213.0,1
500992.0,1
57525.0,1
784370.0,1
245588.0,1
481489.0,1
819644.0,1
358632.0,1
95227.0,1
376859.0,1
118351.0,1
442871.0,1
91625.0,1
540701.0,1
747723.0,1
795127.0,1
386257.0,1
498504.0,1
845161.0,1
364832.0,1
161985.0,1
640579.0,1
36453.0,1
338151.0,1
82975.0,1
110957.0,1
476428.0,1
403586.0,1
88249.0,1
166961.0,1
847715.0,1
683639.0,1
154880.0,1
206229.0,1
155419.0,1
21931.0,1
600531.0,1
585215.0,1
308726.0,1
274115.0,1
579007.0,1
303310.0,1
820732.0,1
293345.0,1
458864.0,1
741932.0,1
213472.0,1
438738.0,1
67317.0,1
65027.0,1
717993.0,1
521522.0,1
118144.0,1
95934.0,1
17473.0,1
269249.0,1
642833.0,1
213907.0,1
472420.0,1
347004.0,1
79936.0,1
174040.0,1
378450.0,1
288411.0,1
448945.0,1
801206.0,1
537074.0,1
490970.0,1
558906.0,1
423243.0,1
999705.0,1
447388.0,1
9882.0,1
422993.0,1
553517.0,1
442681.0,1
556368.0,1
569447.0,1
88436.0,1
57836.0,1
362096.0,1
615737.0,1
792271.0,1
877146.0,1
706886.0,1
243080.0,1
794226.0,1
5418.0,1
905111.0,1
108.0,1
558295.0,1
245004.0,1
184208.0,1
39192.0,1
45850.0,1
404856.0,1
260245.0,1
371480.0,1
167290.0,1
326103.0,1
131273.0,1
974847.0,1
749400.0,1
277422.0,1
521047.0,1
33697.0,1
891892.0,1
45169.0,1
21591.0,1
421470.0,1
77326.0,1
902753.0,1
576683.0,1
658572.0,1
211090.0,1
1782.0,1
272967.0,1
247448.0,1
554449.0,1
1730.0,1
761797.0,1
933935.0,1
365153.0,1
451607.0,1
780972.0,1
57909.0,1
61931.0,1
64475.0,1
867532.0,1
802862.0,1
17945.0,1
329449.0,1
657816.0,1
722923.0,1
442398.0,1
714497.0,1
99331.0,1
252584.0,1
428608.0,1
226301.0,1
222758.0,1
722391.0,1
246063.0,1
237833.0,1
117331.0,1
337922.0,1
163019.0,1
812048.0,1
639814.0,1
222436.0,1
142670.0,1
469509.0,1
943360.0,1
1737.0,1
970177.0,1
514702.0,1
314036.0,1
657636.0,1
24253.0,1
682706.0,1
258263.0,1
1768.0,1
125715.0,1
980095.0,1
615078.0,1
552459.0,1
182184.0,1
351550.0,1
601072.0,1
76598.0,1
504060.0,1
408666.0,1
98059.0,1
581351.0,1
361170.0,1
795141.0,1
161969.0,1
46853.0,1
676777.0,1
212239.0,1
90307.0,1
421398.0,1
525019.0,1
181821.0,1
138548.0,1
94464.0,1
748892.0,1
312887.0,1
399794.0,1
942600.0,1
594345.0,1
339456.0,1
383004.0,1
25737.0,1
360634.0,1
520009.0,1
222960.0,1
95030.0,1
438010.0,1
64361.0,1
118501.0,1
625012.0,1
645845.0,1
189025.0,1
202348.0,1
101679.0,1
255479.0,1
429344.0,1
435918.0,1
380543.0,1
493537.0,1
46091.0,1
568791.0,1
310150.0,1
195492.0,1
195131.0,1
631194.0,1
683356.0,1
246930.0,1
362472.0,1
297324.0,1
884314.0,1
802322.0,1
384708.0,1
25603.0,1
89080.0,1
78868.0,1
63302.0,1
487118.0,1
516605.0,1
801858.0,1
285957.0,1
119862.0,1
343192.0,1
468409.0,1
618137.0,1
472147.0,1
343498.0,1
482959.0,1
289303.0,1
224847.0,1
746194.0,1
544463.0,1
309562.0,1
188594.0,1
679614.0,1
126138.0,1
417871.0,1
279284.0,1
304620.0,1
26655.0,1
29127.0,1
495883.0,1
568687.0,1
5367.0,1
982066.0,1
71995.0,1
181078.0,1
842595.0,1
269859.0,1
632101.0,1
143496.0,1
873040.0,1
947136.0,1
626518.0,1
215401.0,1
477764.0,1
966723.0,1
408436.0,1
236499.0,1
552055.0,1
4657.0,1
47070.0,1
978193.0,1
453005.0,1
343351.0,1
450930.0,1
566524.0,1
781682.0,1
107399.0,1
31408.0,1
939962.0,1
533031.0,1
806911.0,1
129400.0,1
573081.0,1
251545.0,1
475157.0,1
147277.0,1
102716.0,1
164108.0,1
322058.0,1
423394.0,1
61928.0,1
507851.0,1
79717.0,1
85042.0,1
17918.0,1
418449.0,1
521.0,1
181545.0,1
692089.0,1
952005.0,1
231076.0,1
475696.0,1
36278.0,1
19319.0,1
43730.0,1
95160.0,1
81065.0,1
111567.0,1
292946.0,1
267311.0,1
449593.0,1
7160.0,1
417600.0,1
548.0,1
318572.0,1
30657.0,1
24820.0,1
888356.0,1
151756.0,1
131931.0,1
493638.0,1
669430.0,1
622564.0,1
228171.0,1
869427.0,1
810883.0,1
900703.0,1
35141.0,1
85030.0,1
675541.0,1
128134.0,1
106156.0,1
391917.0,1
44221.0,1
338249.0,1
862498.0,1
471168.0,1
84954.0,1
243847.0,1
508592.0,1
645454.0,1
257069.0,1
433649.0,1
479270.0,1
21477.0,1
184356.0,1
235434.0,1
429980.0,1
26370.0,1
73961.0,1
915779.0,1
5331.0,1
849347.0,1
419493.0,1
565149.0,1
848474.0,1
777982.0,1
30530.0,1
261570.0,1
429769.0,1
21449.0,1
925287.0,1
621418.0,1
264317.0,1
636702.0,1
58991.0,1
476815.0,1
146156.0,1
85931.0,1
656836.0,1
95120.0,1
857339.0,1
791826.0,1
723356.0,1
823274.0,1
1055.0,1
315191.0,1
10186.0,1
481602.0,1
35454.0,1
315568.0,1
121807.0,1
615696.0,1
435525.0,1
139697.0,1
337190.0,1
621520.0,1
959314.0,1
355876.0,1
43297.0,1
9017.0,1
272.0,1
927540.0,1
12656.0,1
