ID,OUTCOME
303713.0,1
141107.0,0
447316.0,0
196066.0,0
179947.0,1
246300.0,1
182549.0,1
304827.0,0
591944.0,1
142876.0,1
39397.0,0
445679.0,0
605134.0,1
208970.0,1
143299.0,1
198060.0,0
222808.0,1
796912.0,1
309406.0,1
206092.0,1
121864.0,1
453905.0,0
150341.0,1
384578.0,1
298074.0,1
862202.0,0
747637.0,0
438387.0,0
479943.0,1
433621.0,1
231068.0,1
192.0,0
3264.0,1
211300.0,1
3559.0,0
865863.0,1
49560.0,1
445364.0,1
900068.0,0
306028.0,0
185943.0,1
252156.0,1
100202.0,0
51349.0,1
239813.0,0
118555.0,1
781829.0,1
320998.0,0
489559.0,1
352687.0,1
581445.0,0
459677.0,0
91360.0,0
96404.0,1
635499.0,1
277024.0,0
670445.0,1
949010.0,1
218511.0,1
311673.0,0
290251.0,1
388081.0,0
320940.0,1
72973.0,1
773868.0,0
276638.0,0
132294.0,1
230964.0,0
58061.0,1
713852.0,1
458239.0,0
611295.0,1
28592.0,1
761461.0,1
365595.0,0
985643.0,1
261931.0,1
116049.0,0
77675.0,0
990030.0,1
91560.0,1
567131.0,0
76281.0,1
257917.0,1
147855.0,1
467581.0,1
209364.0,0
928104.0,0
84466.0,1
46560.0,0
554413.0,1
599762.0,0
908314.0,0
683866.0,0
263899.0,1
20028.0,1
284335.0,0
479848.0,0
665280.0,0
127128.0,0
711926.0,1
238915.0,1
313173.0,1
472996.0,0
134115.0,0
121.0,0
573224.0,0
5415.0,0
167285.0,0
25342.0,0
264346.0,1
430027.0,0
323593.0,1
110520.0,1
459797.0,1
47782.0,1
18105.0,0
645894.0,0
57827.0,1
48371.0,1
234297.0,1
762885.0,0
408569.0,1
842565.0,0
748350.0,1
51301.0,0
388577.0,1
58577.0,0
150473.0,0
434668.0,1
301885.0,0
181709.0,0
447807.0,1
45757.0,1
619400.0,1
723925.0,0
195611.0,1
827781.0,1
894399.0,1
711612.0,1
932752.0,1
658499.0,0
227185.0,1
134950.0,1
46382.0,0
243569.0,0
79263.0,0
236757.0,0
778228.0,1
351840.0,0
326692.0,0
362213.0,0
500992.0,1
57525.0,1
784370.0,0
245588.0,1
481489.0,1
819644.0,1
358632.0,0
95227.0,0
376859.0,1
118351.0,0
442871.0,0
91625.0,0
540701.0,0
747723.0,0
795127.0,1
386257.0,0
498504.0,0
845161.0,0
364832.0,1
161985.0,1
640579.0,1
36453.0,1
338151.0,1
82975.0,0
110957.0,0
476428.0,0
403586.0,1
88249.0,0
166961.0,0
847715.0,1
683639.0,0
154880.0,1
206229.0,0
155419.0,0
21931.0,0
600531.0,0
585215.0,1
308726.0,0
274115.0,1
579007.0,0
303310.0,0
820732.0,1
293345.0,0
458864.0,1
741932.0,0
213472.0,0
438738.0,0
67317.0,0
65027.0,0
717993.0,1
521522.0,0
118144.0,1
95934.0,1
17473.0,1
269249.0,1
642833.0,1
213907.0,1
472420.0,1
347004.0,0
79936.0,1
174040.0,0
378450.0,0
288411.0,1
448945.0,0
801206.0,1
537074.0,0
490970.0,1
558906.0,1
423243.0,1
999705.0,1
447388.0,0
9882.0,0
422993.0,0
553517.0,0
442681.0,0
556368.0,1
569447.0,1
88436.0,1
57836.0,0
362096.0,0
615737.0,1
792271.0,0
877146.0,0
706886.0,1
243080.0,1
794226.0,1
5418.0,1
905111.0,1
108.0,0
558295.0,0
